id,pali_1,meaning_1,meaning_lit
3693,akāraka,who is not a doer; who is not an agent; who is not the perpetrator; innocent,
3597,akālapuppha,flower appearing out of season; unseasonable flower,
3871,akiccha,not difficult; trouble-free; easy to get,
4137,akusala 4,unhealthy; unbeneficial; useless,
2881,aghamūla,root of misery; (or) void of a root,
5904,aṅgulimāla,personal name of an arahant monk,garland of fingers
1524,acchati 2,lives; stays; remains,sits
1545,acchindanta,stealing; robbing; depriving,
3344,ajjatā,the present time; this day,
3339,ajjadagge,from today onwards,this day the first
3356,ajjh,is the form of the prefix adhi- before vowels except ī,
3357,ajjha,-,
3541,ajjhūpagata,arrived (at); reached; come to; become; entered,
3491,ajjhogāḷha,plunged (into); went deeply (into); immersed (in),
6245,aññamaññassa,one to another,
6272,aññārādhanā,attainment of final knowledge; accomplishment in spiritual insight,
11711,aṭṭhatiṃsati,thirty-eight (38),
11641,aṭṭhapadakata,"arranged in eight way, plaited eightfold",
11738,aṭṭhavīsati,twenty eight (28),
11786,aṭṭhimiñjā,marrow of the bone,
5929,aṇha,day; part of the day; time of the day,
10809,atandī,not lazy; without sloth,
10803,atāṇa,without refuge; defenseless; without protection,
11247,atiuṇhaṃ,too hot,
11111,atipāto,too early,
11066,atimatta,maddened; highly deluded,
11192,atisītaṃ,too cold,
11211,atītānāgate,in the past and in the future,
11415,attanudiṭṭhi,dogma about the self; belief in an (enduring) soul; concept of self,
11758,atthibhāva,existence; the fact of being present,
10880,athaddha,not proud; not arrogant,not stiff
1778,addakkhu,they saw,
1854,addhaniya,lasting a long period; lasting; enduring,fit for travelling
1846,addhānaṃ āpādeti,lives out one's lifetime,causes to move through the period
2105,adhikuṭṭana,cutting; piercing; chopping,smashing
2043,adhigameyya,could get; would find; should attain,
2010,adhiccāpattika,rarely making transgression; by chance guilty of an offence; occasionally offending,
2221,adhiṭṭhahati 2,stands firmly; determines; resolves; fixes attention on,
2231,adhiṭṭhānapāramī,highest state of resolution; perfection of determination,
2226,adhiṭṭhāna 3,determination; decisive resolution; fixing the mind on,
2245,adhiṭṭheyya,could stand firmly; would determines; could resolve,
2185,adhipati 2,"dominance, predominance",
1998,adhibandha,great bondage; servitude,
2128,adhimuccanta,becoming settled (towards); making up one's mind (about); having faith (in); inclining (towards),being released towards
2132,adhimucchita,infatuated; greedy; strongly fixated on,
2351,adhuva,unstable; not enduring; not eternal,
5539,anattani,in non-self,
5386,anāpattibahula,who is not full of offences; who is not in the habit of offending,
5379,anāpanna,(of a monk) who has not committed; who has not fallen into (an offence),
6026,anikīḷitāvī,who has not finished having fun (with); who has not fulfilled one's desires (for); who has not finished dabbling (in),
6844,anudahana,conflagration; burning up,
6889,anudhāvita,running after; chasing; pursuing; seeking,
7157,anupādāniya,which can not be grasped; which could not be clung to; which can not be used for fuel,
7192,anupāhana 1,without shoes; without sandals,
7412,anuppadinna,given; handed over,
7408,anuppādenta,not producing; not generating; not giving rise to,not causing to arise
6779,anubodhaka,having knowledge; with understanding; awakened,
6804,anubyañjanassādagathita,bound to enjoyment in features; attached to pleasure in details; tied to gratification in secondary characteristics,
7486,anurakkhamāna,guarding; protecting,
7640,anusikkhati 2,doing likewise; follows example; practices by imitation,learns after
6403,anodhi 2,without limit; unlimited,
6492,antagaṇṭhi,twisted gut; knot of the intestine; twisted bowels,
6593,antarāyeva,yet along the way; but meanwhile,
6197,annā,-,
7957,anventa,following; coming after; approaching,going with
8172,apakassa 2,shrinking back,
8038,apaciyati,honours; respects; pays reverence,
8131,apajaha,greedy; (or) proud,not giving up
8318,apaññatta 1,(of a rule) not formulated; not prescribed; not decreed; not declared,
8618,apaṭisevanta,not using; not making use (of),not associating
8306,apaṇṇakaṃ,surely; certainly,free from leaves
8702,apayanta,going away; retreating,
8447,aparihāniya,not connected with loss; not deteriorating; not decreasing; (principle) of non-decline,
8669,apāṭuka,not open; sly; insidious;,
8047,apādaka 2,footless; creeping; not having feet,
8348,apāra 2,near shore; bank on this side,not beyond
9247,aputhujjanasevita,not practiced by ordinary people; not frequented by common folk,not used by  individual person
8749,apetaviññāṇa,without consciousness,
9065,appaṭikūlasaññī,perceiving (of) as agreeable,
9156,appāya,with small income,
61,abbahe,should pull out; could pluck out; should extract,
1320,abyositatta,state of not perfected; being not accomplished,
537,abhikkantadassāvī,of excellent vision,
1091,abhitthavati,praises; applauds,
1096,abhitthuti,high praise; eulogy,
378,abhidhāna 3,name; appellation,
825,abhipīḷita,affected; oppressed; crushed; squeezed,
850,abhipūjaneyyaka,should be highly worshiped; to be venerated (to),
851,abhipūjayati,worships; highly respects; honours,
1192,abhiyujjhita,making war; fighting,
1234,abhyati,passing over; getting through towards,
4655,amatadhātu,deathless state; immortality; (comm) Nibbana element,
4629,amara 2,undying; not subject to death; immortal,
12862,ayamahamasmi,I am this,
12855,ayaṃ tattha samayo,this is the proper occasion herein; this is the right time in this case,
13007,ayosalākā,an iron stick,
9475,araṇī,fire stick; rubbing stick,
4339,alattaka,lac; a red dye; henna dye,
4340,alattakakata,reddened with lac; made with henna dye,
4416,alippamāna,being not smeared (by); being not soiled (by); being not dirtied (by),
4365,aleṇa,not safe; without refuge,not a cave
10132,asaṅkiliṭṭha,untarnished; undefiled; untainted; uncorrupted; pure; clean,
10143,asaṅkuppa,immovable; steady,not to be shaken
10144,asaññā,non perception; non conception; non recognition,
10184,asantaṃ,not existing; not being,
10178,asanta 1.2,unvirtuous; wicked; bad,
9950,asamapekkhita,uninvestigated; not considered; to which didn't pay attention,
9981,asaṃkilesika,not defiling; not dirtying; not tainting; not corrupting,
10760,asukha,without ease; uncomfortable; not pleasant,
10352,asekkha 1,one who does not require any further training; an Arahant; one beyond training,
10368,asesita,having nothing left; without remainder; entire; whole all,
10609,assapuṭa 1,deserving the bag of ashes as punishment,
10610,assapuṭa 2,bag of ashes (used as symbolic punishment),
10654,assasitvā,having breathed in,
12126,avaṅkata,not crooked; non-dishonest,not bent
11911,avacchidda,perforated; having fissures,cuted down
12322,avatthāsi,landed; placed; fell down on,
12101,avamaṅgala 1,bad luck; ill omen,
12587,avikkhitta,not scattered; not confused,not thrown apart
12454,avigata,not gone away; not ceased; not being without; not free from,
12439,avicikicchā,absence of doubt; certainty,
12505,avijjādhātu,state of ignorance; ignorant condition,
12438,avīci 2,one of the great hells,without an interval; uninterrupted
12730,avītikkama,non transgression; non violation; non crime,not going too far
12373,avekkhassu,you by yourself must see; should regard; view as; consider as,look down on!
3119,ahirīka,shameless,
3333,ājīvikāpakata,making a livelihood; earning for live,
10828,ātāpeti 2,heats,
1709,ādānapaṭinissagga,abandoning attachment; relinquishing (all what is) grasping,
5812,āneñja 2,immovable; imperturbable; unperturbed,
8156,āpajjita,engaged (in),
8649,āpattibahula,who is full of offences; who is in the habit of offending,
8650,āpattibhaya,danger of offense; fear of offence,
4544,āmakamatta,raw; unbaked; not dry clay vessel,
4696,āmavasesa,remnants of undigested food,
13015,āyuda,giving life,
9512,āraññikaṅga,practice of living in the wild,
9277,ārabhituṃ,to begin; to start; to undertake; to arouse,
9440,ārambhati 1.1,begins; arouses energy; getting up,
9297,ārādhanā 3,attainment; accomplishment; achievement,
9407,ārāma 2,pleasure; delight,
4361,ālayasamugghāta,eradication of attachment; destruction of clinging,
4465,āloketi,looks before; looks at,
9909,āsāḷhā,month of the lunar calendar; June – July,
10371,āsevana,succession; repetition,close association
12008,āvajjana 2,?? (Abhidhamma) paying attention; apprehending; adverting the mind (to),turning to
12010,āvajjanta,reflecting upon; giving attention to; pondering over; thinking about,turning to
12701,āvisati 1,enters; approaches; takes possession of,
12422,āvi ceva raho ca,openly and even in private,
2996,āhāranettippabhava,with source of nourishment and guide (of craving),
24977,iti attho,thus is the meaning (of this); '…' - meaning of this (Aṭṭhakathā),
25092,itthikā,woman; female,
25087,itthidhana,dowry,woman's wealth
24562,idaṃ tasmiṃ,because of that; this on account of that,this in that
61037,uccāresi 1,lifted up; raised,
61820,ujupaṭipanna,practicing straightly; living uprightly,
61759,ujjavi,went upstream,
61790,ujjhitvā,having discarded; dumped; abandoned; left,
64080,uttiṇa,with the straw off; deprived of grass; thatch-less,
61213,udakarāsi,heap of water; collection of water,
61544,udita,spoken; proclaimed; uttered,
61566,udumbarakhādika,eater of figs,
61357,uddassetabba,should be visited; should be shown (oneself),to be caused to see
61407,uddhaggika,resulting in a lofty end; promoting spiritual welfare,relating to upper point
61412,uddhaṃ adho tiriyaṃ,above below and across; in every direction,
62198,undūra,rat; mouse,
62588,upakappati,is beneficial to; serving for,
63248,upaṭṭhapetvāna,having established; having set up; caused to attend; to be present,
63228,upaṭṭhapenta,establishing; setting up; causing to attend; to be present,
62411,upadesa,pointing out; indication; instruction; advice,
62455,upadhiviveka,seclusion from the acquisitions; solitude from attachment,
62756,upanandhi,borne enmity towards; kept grudge,
62793,upanibandhitvā,having tied onto; having fastened (to),
62284,upabhuñjaka 1,who eats; enjoys; undergoes; using,
62999,uparūpari,higher and higher; over; on top of; right above,
63024,upasamana,calmness; appeasement; appeasing,
63046,upasamika,calming; bringing peace; tranquilizing,
63288,upavajja 2,blameworthy; to be criticized,
63286,upavadiyamāna,being blamed; being admonished; being criticized,
63504,uppādī,having nature to arise; bound to arise,
60946,ubhatobhāgavimutta,liberated in both sides; emancipated in two ways,
62110,ummihati,urinates,
63742,ussāhetvā,having tried; strived; endeavored; produced energy,
63798,ussoḷhi,endurance; exertion,
61715,uhadati,defecates,
62078,ūmimaya,made of waves; consists of waves,
21628,ekatiṃsati,thirty-one (31),
21568,ekaputtaka,only young son,
21604,ekāsanikaṅga,practice of eating at one sitting,
21733,ekūnacattāḷīsati,thirty-nine (39),one less than forty
21745,ekūnatiṃsati,twenty-nine (29),one less than thirty
21746,ekūnatiṃsatima,twenty-ninth (29th),one less than thirtieth
21738,ekūnasata,ninety-nine (99),one less than hundred
21951,etha tumhe,come you all! you all should go,
21294,ehi tvaṃ,come you! come!,
21776,eḷakalomāni,rams' wool; goats' fleece,
38757,okkami,occurred; happened; befallen,descended
38928,oṇojeti,gives as a present; dedicates,
38926,oṇojesi,gave as a present; dedicated,
39109,osaramāna,flowing down; entering,
39076,osādeti,causes to sink; immerses; dumps,
26344,kakacūpama,containing the example of the saw,
26261,kacci nu kho,is it so?; perhaps?,
28243,katīhi,by how many?,
26215,kabaliṅkāra,(of food) material; physical; edible,made into morsels
27668,karaṇa 5,act of doing,
27814,karomase,we must do; let us make; let us act; we must perform,
26727,kalyāṇī 2,beautiful woman,excellent
26858,kāmasukhallikānuyoga,pursuit of the enjoyment of sensual pleasures,
28439,kāyadaḷhibahula,intent on making body firm; concerned with physical well being,often strengthening the body
28512,kāyasakkhi,body-witness; who experienced formless states,
27651,kārakatā,making; causing; creating,doing state
27685,kāraṇaṃ karoti,makes action (against); admonishing,
27684,kāraṇaṃ kāriyamāna,being trained; training to do a task; being made to do the task,
27802,kāriyamāna,being made to do,
27824,kāruka,artisan; artificer; craftsman,maker
26479,kālaṃ karonta,dying,doing time
26609,kālika 2,temporary,related to time
27916,kāsikosalā,kingdoms of Kāsi and Kosala,
29543,kilesavatthu,reason for defilement; base for impurity,
29584,kiṃ kārapaṭissāvi,ready for any action required; agreeing to all (requests for) service,
30391,kukkuṭasampātika,nearby; close by; a stone's throw away,flight of a chicken
30334,kujjhi,was angry,
30471,kulitthī,woman of the family; mistress of the household; a woman of good family,
30041,koṇḍañña 1,seniormost of the five ascetics; first monk-disciple of the Buddha,
30959,kyassu,who may be?; who should be?,
28947,khaṇika,momentary; temporary; evanescent; changeable,for a moment
28975,khantipāramī,highest state of endurance; perfection of patience,
29012,kharassara,harsh toned; making a harsh sound; ominous,
28820,khalupacchābhattika,ascetic who refuses further food,
28821,khalupacchābhattikaṅga,practice of refusing further food,
28702,kha 2,"space, sky",
29402,khuramuṇḍa,head shaved; sheared; close-shaven,
29419,khvetaṃ,this indeed,
22193,gada 2.2,speech; sentence; words,
22660,gandhappaṭisaṃvedī,experiencing smell; conscious of the odour,
22663,gandharāga,greed for the smell; desire for the odour,
22664,gandharāgappaṭisaṃvedī,experiencing greed for the smell; experiencing desire for the odour,
22539,gamissase,you will go by yourself,
22508,gambhīranema,with deeply rooted point; firmly established,
22996,gāyanta,singing; reciting,
22400,gāḷhabandhanaṃ bandhati,binds fast; ties up tightly,
23335,gila,swallowed; devoured; eaten,
23336,gilabaḷisa,swallowing the hook; who has swallowed the hook,
23288,gihibhoga,enjoyment of a layman,
23764,guttika,guardian; one who keeps watch over,
15726,cakkhusamudda,the ocean of the eye; ocean (of the forms perceiving by) the eye,
16369,catuttiṃsati,thirty-four (34),
16113,catuddasa,fourteenth day of the lunar fortnight,
16179,catumadhura,"four sweets (ghee, honey, sugar and sesame oil)",
16382,catuvīsati,twenty-four (24),
16067,cattālīsati,forty (40),
16057,cattāḷisā,forty (40),
15774,camarī,the yak,
15985,carato,for one who walks; for walking,
16114,cātuddasa 1,fourteenth day of the lunar fortnight,
16024,cārittaṃ āpajjita,engaged closely (with); visited; engaged in intercourse (with),engaged in walking
17359,cittaviveka,seclusion of the mind; mental solitude,
17376,cittiṃ katvāna,having honoured; having esteemed; having valued,having done (from) heart
17627,cuṇṇaka,powder,
17630,cuṇṇakamakkhita,smeared with powder,
16520,cetayita,intending; thinking,
17488,corābhinīta,because of the bandits; driven (to it) by thieves,lead by thief
16891,chaṭṭhama,sixth (6th),
16655,chaḍḍayitvāna,having thrown away; having discarded; having thrown aside; having abandoned,
16767,chandaka,voluntary collection; free-will offering; general collection,
16771,chandanidāna,originate in desire; have a source in interest,
16795,chandarāgavinodana,removal of interest and passion; dispelling desire and lust,
16796,chandāraha,entitled to give consent by proxy; is fit give agreement,
16615,chabbīsati,twenty-six (26),
16925,chavālāta,fire brand from a pyre,
16995,chidda 3,fault; defect,cut
17078,chuḍḍha,thrown away; discarded,
25565,jarudapāna,old well; abandoned well,
25725,javana 3,?? (Abhidhamma) impulsion; impulse mind moment,
26012,jitavā,having conquered; having subdued,
25964,jinasāsana,the Buddha's teaching; the Buddha's religion,the message of the Victor
26168,jotiṭhāna,fire place; altar,
26163,jotirasa,certain jewel; wishing stone; wish-fulfilling gem,
35353,ñāṇamattāya,for a measure of understanding; enough for knowledge,
35842,ñātidhamma,duties of relatives,
36110,ñāyapaṭipanna,following the correct method,
59728,ṭhānaṃ vijjati,it is possible; it is plausible,a basis exists
59796,ṭhāpaye,should put aside; ought to leave alone,should cause to stand
59065,taṭa 1,declivity of a mountain; side of a hill; precipice,
58714,taṇhānigghātana,destruction of craving; crushing of desire,
59140,tathattāya,to do likewise,for taking up like that
59083,tathābhūtaṃ,in this way; likewise it become; as it is,
58360,tadatthaṃ,for that purpose; for the sake of,
58547,tamañña,someone else; somebody else,that other
59436,tayo 2,three (3) (object),
58535,taṃ kiṃ maññatha,what do you think?,
59386,tāvakālika,temporary; for the time being,
59393,tāvatakena,with just so much; merely with that,
60176,tikoṭiparisuddha,purified in three respects,
60374,tiracchānakathika,who given to wrong; childish; empty talk,with animal talk
60382,tiracchānayonika,born in the animal realm,belonging to the animal womb
60423,tirokaraṇī,curtain; a screen; veil,making across
60186,tilakāhata,afflicted with spots; marked with stains,
60573,tividhaṃ,in three ways; in a threefold way,
60312,tīṇi duccaritāni,three kinds of wrong conduct,
60393,tīrayitvā,having measured; having judged; having recognized,having caused to cross
60397,tīreti 1,inspect; recognize; scrutinize,causes to cross
60704,tumhaṃ 1,for you all; to you all,
60705,tumhaṃ 2,your,
60666,tulayitvā,having weighed; having examined; having compared,
59461,tecīvarikaṅga,practice of having only three robes,
59628,tettiṃsati,thirty-three (33),
59570,tena tena,here and there; everywhere,by that with that
59644,tevīsati,twenty-three (23),
59688,thāmagata,become fixed; obstinate,
59999,thokika,tiny; small; insignificant; short; brief,
17761,dakāra,(gram) the letter 'd'; the sound 'd',
18004,dandhaṃ,slowly; sluggishly,
18218,dasasahassī,"consisting of 10,000",
18322,dassu,enemy; foe; robber,
18323,dassukhīla,brigandage; robber plague,
17853,daḷhī,making firm; strengthening,
17926,dānapāramī,highest state of generosity; perfection of giving,
17923,dānamaya,made by giving; produced by charity,
17914,dāna 1.2,alms; gift,
17869,dāma 1,bond; fetter; rope; chain,
18381,dāvaggi,forest-fire,
19677,diṭṭhadhammābhinibbuta,completely calmed in this life; perfectly extinguished here and now,
19710,diṭṭhasutamutaviññāta,"visible audible feelable and knowable; seen, heard, felt and known",
19764,diṭṭhippatta,attained understanding; (or) attained through view,
19557,dina,day,
19590,dipādaka,two-legged; biped; having two feet,
19599,dīpana 1,illustrating; explaining,causing to shine
19600,dīpana 2,illustration; explanation,causing to shine
20206,dukkhanirodhagāminīpaṭipadā,path of practice leading to the cessation of suffering,
20234,dukkhappatta,being in suffering; afflicted with pain,reached pain
20077,duggāha,taking hold of wrongly; a bad seizing,
20356,dunnimitta,bad omen; bad sign,
20408,duppūrana,difficult to fill up; hard to fill,
20539,dussupina,bad dream; nightmare,
21043,duvidhena,in two ways; as of two kinds; in a twofold way,
20433,dūraṃ,far away; distantly,
18563,devānubhāva,divine power,
18425,dehanissita,connected with body; belonging to the body,
19953,dovacassatā,unruliness; contumacy; stubbornness; obstinacy,hard to talk to state
21199,dvevīsati,twenty- two (22),
18765,dhammagārava 2,respect for Dhamma,
18704,dhammacakkappavattanasutta,sutta in Saṃyutta Nikāya 56.11 (SN 56.11),
18886,dhammappaṭisaṃvedī,experiencing mental phenomena; conscious of the thought,
18893,dhammarāgappaṭisaṃvedī,experiencing greed for the mental phenomena; experiencing desire for the thoughts,
19157,dharamāna,lasting; continuing; living,
19229,dhātumattaka,merely elements,
19256,dhāva,running; racing; sprinting,
19303,dhītucitta,attitude as to the daughter; a state of mind like to the daughter,daughter-mind
19305,dhītumattī,girl of a daughter age,daughter-measure
35072,nakhacchedana,nail-cutter,
34932,nagaraguttika,the town-watchman; the chief-constable,
34862,nadita,roared; made a noise,
34774,nabhivadati,does not welcome; does not greet respectfully; does not say hello,
35199,namakāra,action of homage; act of veneration; homage-paying,
35255,namati 2,bends; bows down,
35241,namassanīya,should be worshipped; fit to be honoured,
35734,nāsana,destroying; abandoning; removing,causing to vanish
35764,nāsīsati,does not wish (for); does not hope (for),
37070,nijjīva 2,soulless; without a soul,
36726,nidassita,pointed out; defined as; termed; shown,
36741,niddārāmatā,pleasure of sleep; enjoyment of sleep,enjoying sleep state
36778,niddhantamala,with removed stains; without impurities,with blown away dirt
37579,nippesika,insulting or threatening (for gain),
36371,nibandhissaṃ,I will bind by myself; I shall tie,
36471,nibbatteti,produces; brings forth; brings into being,causes to come out
