kammubinduvihāraṃ	kammabinduvihāraṃ
tadanataraṃ	tadanantaraṃ
evaṃsampadameve	evaṃsampadamevetaṃ
tinnaṭṭhāne	tiṇṇaṭṭhāne
bhūtadevaṭṭonāgasupaṇṇāvaṭṭo	bhūtadevatāvaṭṭonāgasupaṇṇāvaṭṭo
bhūtadevaṭṭonāgasupaṇṇāvaṭṭoti	bhūtadevatāvaṭṭonāgasupaṇṇāvaṭṭoti
nadīñca	nadiñca
pāpupurekkhāro	pāpapurekkhāro
panānananda	panānanda
cittassāhametenti	cittassāhameteti
ussati	ñassati
payyapenti	payapenti
acariya	ācariya
dvattiṃsūcandānaṃ	dvattiṃsacandānaṃ
tuṇhībhū	tuṇhībhūtaṃ
disvāno	disvānotaritaṃ
kālyāṇavācotiādīsu	kalyāṇavācotiādīsu
dvārasālāyānti	dvārasālāyanti
hatthivittako	hatthivitakko
imaṃye	imaṃyeva
māhārāhulovādasuttavaṇṇanā	mahārāhulovādasuttavaṇṇanā
raññikiṭāgirināmo	nāḷakaraññikiṭāgirināmo
paññpemīti	paññapemīti
ruḷahanīyanti	ruḷhanīyanti
tametthaṃ	tamettha
tenupaṅkamiṃsu	tenupasaṅkamiṃsu
tesaṃye	tesaṃyeva
viññāyana	viññāya
citeti	ceteti
payhaṃ	pañhaṃ
vigatūpattilese	vigatūpakkilese
purapuggalānaṃ	parapuggalānaṃ
tūṇhībhūtova	tuṇhībhūtova
rathiyāpī	rathiyāpi
karissatī	karissatīti
vijitāpī	vijitāvī
ssabbattha	sabbattha
atāpī	ātāpī
rokho	kho
sīsyāipotthakesu	sī syā potthakesu
antaradhaṃāyissatīti	antaradhāyissatīti
savibhattaṃ	suvibhattaṃ
paṭipucchitu	paṭipucchitunti
ipotthakesu	potthakesu
medhetha	edhetha
sokaparidevadukkhadomanassupāyāsaā	sokaparidevadukkhadomanassupāyāsā
sukaṭakkaṭānaṃ	sukaṭadukkaṭānaṃ
bahūsū	bahūsu
paccantajanapadāmanussā	paccantajanapadā manussā
bhāvitamāsiṃ	bhāvitamāsiṃsati
cakkaratanaṃu	cakkaratanaṃ
utarāsaṅgaṃ	uttarāsaṅgaṃ
byākarissāmī	byākarissāmi
opayikatarāni	opāyikatarāni
jigiṃ	jigiṃsamāno
kammasu	kammesu
rasaharaṇīyo	rasaharaṇiyo
tenupaṅkamissāmāti	tenupasaṅkamissāmāti
itthīṃ	itthiṃ
ddheḷhakajātā	dheḷhakajātā
hī	hi
ākiñcāññāyatanūpagā	ākiñcaññāyatanūpagā
kalahappavaḍḍhanaākiccakāriṃ	kalahappavaḍḍhanāakiccakāriṃ
assāsapassāssā	assāsapassāsā
vīriyāramme	vīriyārambhe
nti	paṭipucchitunti
adukkhamasuṃ	adukkhamasukhaṃ
jarāmaraṇasamudaṃ	jarāmaraṇasamudayaṃ
nirujjhāmānā	nirujjhamānā
diyaḍhḍasataṃ	diyaḍḍhasataṃ
candanikāye	candanikāyaṃ
kappeyāma	kappeyyāma
ākaṅkeyya	ākaṅkheyya
marahatīti	arahatīti
natatthevantaradhāyathāti	tatthevantaradhāyathāti
upapajjeyanti	upapajjeyyanti
upapajjeya	upapajjeyya
jāname	jānameva
pabbajāyāti	pabbajjāyāti
pisuṇāvāco	pisuṇavāco
pharusāvāco	pharusavāco
ettāvattā	ettāvatā
abhiṅkharitvā	abhisaṅkharitvā
adīnavañca	ādīnavañca
māyākatame	māyākatametaṃ
pacchimasopānakaḷevarāḥ	pacchimasopānakaḷevarā
ajjheneḥ	ajjhene
vimuccitthaḥ	vimuccittha
acikkhissāmi	ācikkhissāmi
sanatā	nijigiṃsanatā
tatre	tatreva
ta	tatra
vuṭṭe	vuṭṭhe
kusalāyātikā	kusalāyatikā
vedayya	vadeyya
parihiṃ	parihiṃsatthāya
ayokhilaṃ	ayokhīlaṃ
majjheurasmiṃ	majjhe urasmiṃ
dhammānaṃtve	dhammānaṃtveva
sammākammantī	sammākammanto
sāmīcikammacīvarapiṇḍapātasenāsanagilā	sāmīcikammacīvarapiṇḍapātasenāsana
nappaccayabhesajjaparikkhārānuppadānena	gilānappaccayabhesajjaparikkhārānuppadānena
cīvarapiṇḍapātasenāsanagilā	cīvarapiṇḍapātasenāsana
bahunojanassa	bahuno janassa
samuccā	sammuccā
viyaṃ	piyaṃ
vāmakase	kacchevāmakase
gaḷeyyasi	gaḷeyyāsi
tatthevantaradhāyithāti	tatthevantaradhāyitthāti
purissa	purisassa
uppajeyya	uppajjeyya
bhikkhuhi	bhikkhūhi
paṭhamajhāna	paṭhamajjhāna
dutiyajhāna	dutiyajjhāna
tatiyajhāna	tatiyajjhāna
abhibhuto	abhibhūto
nijanasambādhāni	nijjanasambādhāni
anvāvisiṭṭhā	anvāviṭṭhā
vekacaraṃ	sīhaṃvekacaraṃ
vinivaṭṭhetvā	vinivaṭṭetvā
āvedhita	āveṭhita
dandapañño	dandhapañño
parivattetitvā	parivattitvā
samajjāpetvā	sammajjāpetvā
uppaddavāpi	upaddavāpi
uppaddavaṃ	upaddavaṃ
uppaddavā	upaddavā
suddinna	sudinna
arocesuṃ	ārocesuṃ
sarāmiti	sarāmīti
amanassubhatobyañjanakaṃ	amanussubhatobyañjanakaṃ
brāhmacārino	brahmacārino
dukkaṭasa	dukkaṭassa
orocesuṃ	ārocesuṃ
anāpati	anāpatti
voropetti	voropeti
gihīṃ	gihiṃ
tīkārehi	tīhākārehi
vatthuni	vatthūni
muccatti	muccati
mocanāmippāyassa	mocanādhippāyassa
upādāyaṃ	upādāya
vipariṇattaṃ	vipariṇataṃ
duṭṭhallāduṭṭhullaṃ	duṭṭhullāduṭṭhullaṃ
bhuñjithā	bhuñjittha
bhuñjithāti	bhuñjitthāti
pituraakhatañca	piturakkhitañca
vimaṃsā	vīmaṃsā
vimaṃsāti	vīmaṃsāti
dukkāṭanaṃ	dukkaṭānaṃ
dukkāṭānaṃ	dukkaṭānaṃ
bhikkhuve	bhikkhave
brahmacariyācāveyyanti	brahmacariyā cāveyyanti
anācaraṃ	anācāraṃ
sañcissantipi	siñcissantipi
rahonāma	raho nāma
tene	tena
hotī	hotīti
sajjasīti	sajjesīti
bhumattharaṇaṃ	bhūmattharaṇaṃ
ujjhāyyanti	ujjhāyanti
pañcakkhatuṃ	pañcakkhattuṃ
uppajjayyuṃ	uppajjeyyuṃ
pilindivaccho	pilindavaccho
bhessajjānīti	bhesajjānīti
añātakasaññī	aññātakasaññī
parivattabbaṃ	parivatthabbaṃ
sambahūlehi	sambahulehi
cā	cāti
mātāpituraakhatañca	mātāpiturakkhitañca
akāsepi	ākāsepi
ukaṭṭhaṃ	ukkaṭṭhaṃ
viciccathāyye	viviccathāyye
sakkacaṃ	sakkaccaṃ
abhinippajjati	abhinipajjati
anisaṃsaṃ	ānisaṃsaṃ
yaṃnnūnāhaṃ	yaṃnūnāhaṃ
aparipācitte	aparipācite
ārācesuṃ	ārocesuṃ
asammattaṃ	asammataṃ
bojhaṅge	bojjhaṅge
coḷabhiti	coḷabhisi
gaddhabādhipubbane	gaddhabādhipubbena
idisesu	īdisesu
ovandantīti	ovadantīti
ovandatīti	ovadatīti
pācattiyanti	pācittiyanti
pacittiyassa	pācittiyassa
pācittiyyanti	pācittiyanti
rajjanīyāni	rajanīyāni
rittahattaṃ	rittahatthaṃ
saṅghādisessa	saṅghādisesa
ttamano	cattamano
vemitako	vematiko
ekaccāsassatikā	ekaccaasassatikā
yassāyasmāto	yassāyasmato
ādikammissāti	ādikammikassāti
pavāressatī	pavāressatīti
anāpattiādiyitvā	anāpatti ādiyitvā
anāthapiṇḍakassa	anāthapiṇḍikassa
tiracchāgatamanussaviggahena	tiracchānagatamanussaviggahena
dhammikonāma	dhammiko nāma
dutiyasikkhamāna	dutiyasikkhamānanavuṭṭhāpanasikkhāpada
pavattetti	pavatteti
samaṇabrāhmaṇākammavādā	samaṇabrāhmaṇā kammavādā
khīṇājāti	khīṇā jāti
sasandanti	saṃsandanti
dhammānuppajjamānā	dhammā nuppajjamānā
kūlūpako	kulūpako
etthakesu	ettakesu
anusāsanīnti	anusāsaninti
paṃsukuliko	paṃsukūliko
anupubbavihārasamāpattinaṃ	anupubbavihārasamāpattīnaṃ
tariyacatutthasuttesu	tatiyacatutthasuttesu
yātappaṃ	ātappaṃ
anajjhosā	anajjhosāya
anabhisaṅkhārañca	anabhisaṅkhacca
ghositarāme	ghositārāme
desessāmī	desessāmi
catārome	cattārome
anigatarāgassa	avigatarāgassa
ākusalā	akusalā
bhikkhunābhinandati	bhikkhu nābhinandati
passatāmi	passatāmiva
ñhi	ñātañhi
aniccatāye	aniccatāyeva
dūkkhassāti	dukkhassāti
pubbanimmittaṃ	pubbanimittaṃ
vepullāyaṃ	vepullāya
upekkilesā	upakkilesā
bojjhaṅgasaṃyutassa	bojjhaṅgasaṃyuttassa
asaṃvadamānā	saṃvadamānā
sakuṇagdhi	sakuṇagghi
aṭṭhaṅkiko	aṭṭhaṅgiko
maṇabrāhmaṇiyā	sassamaṇabrāhmaṇiyā
sotapanno	sotāpanno
āyatanānī	āyatanānītissa
manubhoti	anubhoti
kāgarāgābhinivesavinibandhapaligedhapariyuṭṭhānajjhosānaṃ	kāmarāgābhinivesavinibandhapaligedhapariyuṭṭhānajjhosānaṃ
dhammānussārī	dhammānusārī
sammāsaṅkapo	sammāsaṅkappo
nikāmalāmī	nikāmalābhī
pahanāya	pahānāya
abhiviniye	abhivinaye
brāhmalokāpi	brahmalokāpi
pahātabbot	pahātabboti
bbhavikehi	ponobbhavikehi
gihisāmicīti	gihisāmīcīti
dubbaṇo	dubbaṇṇo
viññā	viññāya
pono	ponobhavikehi
attavādī	atthavādī
akaṅkhati	ākaṅkhati
ḍaṃsamakasavātātapasarīsa	ḍaṃsamakasavātātapasarīsapasamphassānaṃ
pasamphassānaṃ	ḍaṃsamakasavātātapasarīsapasamphassānaṃ
dupañño	duppañño
vācimanuvācenti	vācitamanuvācenti
suṇohhi	suṇohi
bhavissatī	bhavissatīti
