compound	split
ayamanudhamma	ayaṃ + anudhamma
ayamantarākathā	ayaṃ + antarākathā
ayamantimā	ayaṃ + antimā
ayamassa	ayaṃ + assa
ayamahamasmīti	ayaṃ + ahaṃ + asmi + iti
ayamāyasmā	ayaṃ + āyasmā
ayamāhāro	ayaṃ + āhāro
ayamuddeso	ayaṃ + uddeso
ayamekānupassanā	ayaṃ + eka + anupassanā
ayameko	ayaṃ + eko
ayamettha	ayaṃ + ettha
ayameva	ayaṃ + eva
ayamevettha	ayaṃ + eva + ettha
ayampi	ayaṃ + api
ayaṃsa	ayaṃ + assa
arahantamhā	arahantā + amhā
ariyañcaṭṭhaṅgikaṃ	ariyaṃ + ca + aṭṭhaṅgikaṃ
alañca	alaṃ + ca
alasvassa	alaso + assa
asasmi	asa + asmi
asecanakamojavaṃ	asecanakaṃ + ojavaṃ
asmiñca	asmiṃ + ca
asmīti	asmi + iti
avañjhānitvevāhaṃ	avañjhāni + tu + eva + ahaṃ
avijjampāhaṃ	avijjaṃ + api + ahaṃ
ahañca	ahaṃ + ca
ahañce	ahaṃ + ce
ahañceva	ahaṃ + ce + eva
ahañceva	ahaṃ + ca + eva
ahaññeveko	ahaṃ + eva + eko
ahañhi	ahaṃ + hi
ahanti	ahaṃ + iti
ahamaññatra	ahaṃ + aññatra
ahamasmi	ahaṃ + asmi
ahameva	ahaṃ + eva
ahampāyasmante	ahaṃ + api + āyasmante
ahampi	ahaṃ + api
ahamhi	ahaṃ + hi
āgatamha	āgata + amha
āgatosi	āgato + asi
āditova	ādito + eva
ādimeva	ādiṃ + eva
āpannomhi	āpanno + amhi
āyasmāpi	āyasmā + api
āyāmānanda	āyāma + ānanda
āyāmāvuso	āyāma + āvuso
iccanena	iti + anena
iccādi	iti + ādi
iccāyasmā	iti + āyasmā
iccāsi	iti + āsi
icceke	iti + eke
iccetaṃ	iti + etaṃ
iccete	iti + ete
icceva	iti + eva
iccevamādi	iti + evaṃ + ādi
iccevaṃ	iti + evaṃ
icchāmahaṃ	icchāmi + ahaṃ
icchāyasantyā	icchāya + asantiyā
iñjitametaṃ	iñjitaṃ + etaṃ
iticiti	iti + ca + iti
itipi	iti + api
itissa	iti + assa
itissame	iti + assa + ime
itissime	iti + assa + ime
itissu	iti + ssu
itihanti	iti + ahaṃ + iti
itihetaṃ	iti + hi + etaṃ
itthasmīti	ittha + asmi + iti
ittheke	ittha + eke
itthetaṃ	ittha + etaṃ
itthetepi	ittha + ete + api
idañca	idaṃ + ca
idañcidañca	idaṃ + ca + idaṃ + ca
idañhi	idaṃ + hi
idamassa	idaṃ + assa
idamavoca	idaṃ + avoca
idamavocāyasmā	idaṃ + avoca + āyasmā
idametaṃ	idaṃ + etaṃ
idamettha	idaṃ + ettha
idameva	idaṃ + eva
idampi	idaṃ + api
idānāyasmā	idāni + āyasmā
idānāhaṃ	idāni + ahaṃ
idānihaṃ	idāni + ahaṃ
idāneva	idāni + eva
iddhimantāssunāmime	iddhimantā + ssu + nāma + ime
idhatthi	idha + atthi
idhassa	idha + assa
idhassu	idha + assu
idhānanda	idha + ānanda
idhāvuso	idha + āvuso
idhāhaṃ	idha + ahaṃ
idhūpapanno	idha + upapanno
idheva	idha + eva
idhevāhaṃ	idha + eva + ahaṃ
imañca	imaṃ + ca
imañcāhaṃ	imaṃ + ca + ahaṃ
imañce	imaṃ + ce
imameva	imaṃ + eva
imasmiñca	imasmiṃ + ca
imasmiññeva	imasmiṃ + eva
imasmimpi	imasmiṃ + api
imasmiṃyeva	imasmiṃ + eva
imassuppādā	imassa + uppādā
imassetaṃ	imassa + etaṃ
imaṃyeva	imaṃ + eva
imāhaṃ	imaṃ + ahaṃ
iminānukkamena	iminā + anukkamena
imināpetaṃ	iminā + api + etaṃ
imināsmīti	iminā + asmi + iti
imināhaṃ	iminā + ahaṃ
imettamapi	imaṃ + ettaṃ + api
imesampissa	imesaṃ + api + assa
imeva	ime + eva
imehaṃ	ime + ahaṃ
ivoccante	iva + uccante
utūnīdha	utūni + idha
uttariñca	uttariṃ + ca
uttānatthameva	uttāna + atthaṃ + eva
uttānatthamevāti	uttāna + atthaṃ + eva + iti
uttānatthāneva	uttāna + atthā + eva
uttānameva	uttānaṃ + eva
uttānamevāti	uttānaṃ + eva + iti
upamāyapidhekacce	upamāya + api + idha + ekacce
uparinemassa	upari + nemassa
upasaṅkamatāyasmā	upasaṅkamatu + āyasmā
ubhayametaṃ	ubhayaṃ + etaṃ
ubhopi	ubho + api
ubhova	ubho + eva
ekañca	eka + aṃ + ca
ekaññeva	ekaṃ + eva
ekañhi	ekaṃ + hi
ekadivaseneva	eka + divasena + eva
ekamidāhaṃ	ekaṃ + idaṃ + ahaṃ
ekampi	ekaṃ + api
ekarattampi	ekarattaṃ + api
ekaṃyeva	ekaṃ + eva
ekāyeva	ekā + eva
ekenapi	ekena + api
ekenekā	ekena + ekā
ekeneva	ekena + eva
ekoyeva	eko + eva
ekova	eko + eva
etañca	etaṃ + ca
etañhi	etaṃ + hi
etadaggaṃ	etad + aggaṃ
etadahosi	etad + ahosi
etadeva	etad + eva
etamatthaṃ	etaṃ + atthaṃ
etamahaṃ	etaṃ + ahaṃ
etamādīnava	etaṃ + ādīnava
etampi	etaṃ + api
etasseva	etassa + eva
etenupāyena	etena + upāyena
eteneva	etena + eva
eteyeva	ete + eva
ettakopi	ettako + api
ettāvataggaṃ	ettāvatā + aggaṃ
ettāvatāpi	ettāvatā + api
etthantare	ettha + antare
etthāyaṃ	ettha + ayaṃ
etthete	ettha + ete
etthesā	ettha + esā
ettheva	ettha + eva
esānisaṃso	esa + ānisaṃso
esāhaṃ	eso + ahaṃ
esūpamā	esā + upamā
eseva	eso + eva
esevanto	eso + eva + anto
esohamasmi	eso + ahaṃ + asmi
evañca	evaṃ + ca
evañcetaṃ	evaṃ + ce + etaṃ
evañcetaṃ	evaṃ + ca + etaṃ
evañcettha	evaṃ + ca + ettha
evañhi	evaṃ + hi
evantaṃ	evaṃ + taṃ
evantiparivaṭṭaṃ	evaṃ + tiparivaṭṭaṃ
evamaññepi	evaṃ + aññe + api
evamattho	evaṃ + attho
evamayaṃ	evaṃ + ayaṃ
evamassa	evaṃ + assa
evamassu	evaṃ + assu
evamāvuso	evaṃ + āvuso
evamāha	evaṃ + āha
evamāhaṃsu	evaṃ + āhaṃsu
evamidaṃ	evaṃ + idaṃ
evamīdisesu	evaṃ + īdisesu
evametasmā	evaṃ + etasmā
evametassa	evaṃ + etassa
evametaṃ	evaṃ + etaṃ
evametāsaṃ	evaṃ + etāsaṃ
evametissā	evaṃ + etissā
evametesaṃ	evaṃ + etesaṃ
evamettha	evaṃ + ettha
evamesā	evaṃ + esā
evameva	evaṃ + eva
evamevassu	evaṃ + eva + ssu
evamevaṃ	evaṃ + evaṃ
evamevāyaṃ	evaṃ + eva + ayaṃ
evampi	evaṃ + api
evarūpāpi	evarūpā + api
evarūpepi	evarūpe + api
evarūpopi	evarūpo + api
evassa	eva + assa
evaṃsa	evaṃ + assa
evaṃsmīti	evaṃ + asmi + iti
evāyaṃ	eva + ayaṃ
evāyaṃ	evaṃ + ayaṃ
evāhaṃ	evaṃ + ahaṃ
evetaṃ	eva + etaṃ
evesā	eva + esā
ehambho	ehi + ambho
ehāvuso	ehi + āvuso
okamokata	okaṃ + okata
ogāhamuttiṇṇaṃ	ogāhaṃ + uttiṇṇaṃ
otiṇṇomhi	otiṇṇo + amhi
kaccāhaṃ	kacci + ahaṃ
kaccittha	kacci + ettha
kaccittha	kacci + attha
kaccissu	kacci + su
kacchevāmakase	kacche + iva + amakase
kañcideva	kaṃ + ci + eva
katamañcāvuso	katamaṃ + ca + āvuso
katamettāvatā	kataṃ + ettāvatā
kathañca	kathaṃ + ca
kathañcarahi	kathaṃ + carahi
kathañcānanda	kathaṃ + ca + ānanda
kathañcāvuso	kathaṃ + ca + āvuso
kathañhi	kathaṃ + hi
kathamidaṃ	kathaṃ + idaṃ
kathamime	kathaṃ + ime
kathaṃsu	kathaṃ + su
kathāyaṃ	kathaṃ + ayaṃ
kamatthamanubhoti	kaṃ + atthaṃ + anubhoti
kammakiliṭṭhamattano	kamma + kiliṭṭhaṃ + attano
kammavisuddhimattano	kamma + visuddhiṃ + attano
kayirāthenaṃ	kayirātha + enaṃ
karomahaṃ	karomi + ahaṃ
kalyāṇamittassetaṃ	kalyāṇamittassa + etaṃ
kallosi	kalla + asi
kāyanuttha	kāya + nu + ettha
kāyānamantarena	kāyānaṃ + antarena
kālasseva	kālassa + eva
kālepi	kāle + api
kiccamātappaṃ	kiccaṃ + ātappaṃ
kiñca	kiṃ + ca
kiñcarahi	kiṃ + carahi
kiñcāpi	kiṃ + ca + api
kiñcāyaṃ	kiñci + ayaṃ
kiñcetaṃ	kiṃ + ca + etaṃ
kiñhi	kiṃ + hi
kintāhaṃ	kiṃ + iti + ahaṃ
kintāhaṃ	kiṃ + te + ahaṃ
kinti	kiṃ + iti
kinnu	kiṃ + nu
kinnumāva	kiṃ + nu + imā + eva
kimaññatra	kiṃ + aññatra
kimassa	kiṃ + assa
kimassāhaṃ	kiṃ + assa + ahaṃ
kimahaṃ	kiṃ + ahaṃ
kimāha	kiṃ + āha
kimidaṃ	kiṃ + idaṃ
kimetaṃ	kiṃ + etaṃ
kimevidaṃ	kiṃ + eva + idaṃ
kirāyasmā	kira + āyasmā
kissassu	kissa + ssu
kiṃninnaṃ	kiṃ + ninnaṃ
kiṃpabbhāraṃ	kiṃ + pabbhāraṃ
kiṃpoṇaṃ	kiṃ + poṇaṃ
kiṃsūdha	kiṃ + su + idha
kutettha	kuto + ettha
kudāssu	kudā + ssu
kuddhabhāvamassa	kuddha + bhāva + assa
kecideva	keci + eva
kecime	keci + ime
kenassu	kena + ssu
kenassubbhāhato	kena + ssu + abbhāhato
kenīdha	kena + idha
kenesa	kena + esa
kesaggamattampi	kesa + agga + mattaṃ + api
kesūdha	ka + idha
kocañño	koci + añño
kocideso	koci + deso
kodha	ko + idha
konāmo	ko + nāmo
kosi	ko + asi
kyassa	ke + assa
kyāhaṃ	kiṃ + ahaṃ
kvāssa	kva + assa
kvettha	ko + ettha
khamāmahaṃ	khamāmi + ahaṃ
khārivividhamādāya	khārivividhaṃ + ādāya
khippameva	khippaṃ + eva
khippaṃyeva	khippaṃ + eva
khome	kho + ime
khomhi	kho + amhi
khosi	kho + asi
khosmi	kho + asmi
khohaṃ	kho + ahaṃ
khvassa	kho + assa
khvāyaṃ	kho + ayaṃ
khvāssa	kho + assa
khvāvuso	kho + āvuso
khvāhaṃ	kho + ahaṃ
khvesa	kho + esa
gacchāvuso	gaccha + āvuso
gantumicchasi	gantuṃ + icchasi
gāthamāha	gāthaṃ + āha
gāthācimā	gāthā + ca + imā
ghāsamacchādanaṃ	ghāsaṃ + acchādanaṃ
caggimāsīno	ca + aggiṃ + āsīno
caññe	ca + aññe
cattārimāni	cattāri + imāni
cattārome	cattāro + ime
catthāya	ca + atthāya
catthi	ca + atthi
canekāyatanappavutto	ca + aneka + āyatana + pavutto
cantalikkhasmiṃ	ca + antalikkhasmiṃ
camhi	ca + amhi
carapire	cara + api + re
carahāvuso	carahi + āvuso
cassa	ca + assa
cassa	ce + assa
cassaṃ	ca + assaṃ
cassā	ca + assā
cassu	ca + assu
cāpanataṃ	ca + apanataṃ
cāpanato	ca + apanato
cāpi	ca + api
cāpime	ca + api + ime
cābhinataṃ	ca + abhinataṃ
cābhinato	ca + abhinato
cāyasmatā	ca + āyasmatā
cāyasmā	ca + āyasmā
cāyaṃ	ca + ayaṃ
cāsiṃ	ca + āsiṃ
cāvuso	ca + āvuso
cāha	ca + āha
cāhaṃ	ca + ahaṃ
cāhaṃ	ce + ahaṃ
cāhu	ca + ahu
cāhu	ca + āhu
citiceva	ca + iti + ca + eva
cittamassa	citta + assa
cittamidaṃ	citta + idaṃ
cidaṃ	ca + idaṃ
cimaṃ	ca + imaṃ
cirasseva	cirassa + eva
cuttari	ca + uttari
cudakā	ca + udakā
cūbhayaṃ	ca + ubhaya + aṃ
ceke	ca + eke
cetanāhaṃ	cetanā + ahaṃ
cetarahi	ca + etarahi
cetaṃ	ca + etaṃ
cetaṃ	ce + etaṃ
cetā	ca + etā
cetā	ca + esā
cete	ca + ete
cettha	ca + ettha
cenaṃ	ca + enaṃ
cepi	ce + api
cesa	ce + esa
cesa	ca + esa
ceso	ca + eso
ceva	ce + eva
ceva	ca + eva
cevassa	ca + eva + assa
cevetassa	ce + eva + etassa
cevettha	ca + eva + ettha
corosi	coro + asi
chaccābhiṭhānāni	cha + ca + abhiṭhānāni
channetaṃ	channaṃ + etaṃ
chayimā	cha + imā
chayimāni	cha + imāni
chayime	cha + ime
jarādhammomhi	jarā + dhammo + amhi
jātameva	jātaṃ + eva
jātosmi	jāto + asmi
jānāmahaṃ	jānāmi + ahaṃ
jīvitamattano	jīvitaṃ + attano
jīvitamuttamaṃ	jīvitaṃ + uttamaṃ
jhānalābhīsi	jhāna + lābhī + asi
jhāyinosmā	jhāyino + asmā
ṭhānañhi	ṭhānaṃ + hi
ṭhitomhi	ṭhito + amhi
tañca	taṃ + ca
tañcassa	taṃ + ca + assa
tañcāyatanaṃ	taṃ + ca + āyatanaṃ
tañcāyaṃ	taṃ + ca + ayaṃ
tañcāhaṃ	taṃ + ca + ahaṃ
tañce	taṃ + ce
tañceva	taṃ + ca + eva
taññeva	taṃ + eva
taññevettha	taṃ + eva + ettha
tañhi	taṃ + hi
tañhissa	taṃ + hi + assa
taṇhamabbuyha	taṇhaṃ + abbuyha
tatiyampi	tatiyaṃ + api
tatohaṃ	tato + ahaṃ
tatthaddasaṃ	tattha + addasaṃ
tatthāyasmante	tattha + āyasmante
tatthāyaṃ	tattha + ayaṃ
tatthāhaṃ	tattha + ahaṃ
tatthetaṃ	tattha + etaṃ
tattheva	tattha + eva
tatthevantaradhāyi	tattha + eva + antaradhāyi
tatthevantaradhāyīti	tattha + eva + antaradhāyi + iti
tatrapime	tatra + api + ime
tatrassa	tatra + assa
tatrāpāsiṃ	tatra + api + āsiṃ
tatrāpāhaṃ	tatra + api + ahaṃ
tatrāpi	tatra + api
tatrāyaṃ	tatra + ayaṃ
tatrāssa	tatra + assa
tatrāssu	tatra + ssu
tatrāvuso	tatra + āvuso
tatridamekaṃ	tatra + idaṃ + ekaṃ
tatridaṃ	tatra + idaṃ
tatrime	tatra + ime
tatreko	tatra + eko
tatreva	tatra + eva
tatvassa	tato + assa
tathariva	tathā + eva
tathāpi	tathā + api
tathāyaṃ	tathā + ayaṃ
tathāhaṃ	tathā + ahaṃ
tathūpamāhaṃ	tathā + upama + ahaṃ
tatheva	tathā + eva
tatheva	tatha + eva
tadajjahaṃ	tad + ajja + ahaṃ
tadadhimutto	tad + adhimutto
tadanuttaraṃ	tad + anuttaraṃ
tadanudhammañca	tad + anudhammaṃ + ca
tadapi	tad + api
tadamariyānaṃ	tad + idaṃ + ariyānaṃ
tadaminā	tad + iminā
tadamināpetaṃ	tad + aminā + api + etaṃ
tadariyā	tad + ariyā
tadassa	tad + assa
tadahuposathe	tad + aha + uposathe
tadāpi	tadā + api
tadiṅgha	tad + iṅgha
tadidaṃ	tad + idaṃ
tadeva	tad + eva
tadevassa	tad + eva + assa
tadevāhaṃ	tad + eva + ahaṃ
tadevekaccesu	tad + eva + ekaccesu
tapantamādiccamivantalikkhe	tapantaṃ + ādiccaṃ + iva + antalikkhe
tamaññe	taṃ + aññe
tamañño	taṃ + añño
tamattha	taṃ + attha
tamatthaṃ	taṃ + atthaṃ
tamahaṃ	taṃ + ahaṃ
tamāhu	taṃ + āhu
tamenaṃ	taṃ + enaṃ
tameva	taṃ + eva
tamevassa	taṃ + eva + assa
tamevūpekkhaṃ	taṃ + eva + upekkhā + aṃ
tampi	taṃ + api
tampissa	taṃ + api + assa
tammayaṃ	taṃ + mayaṃ
tamhuddhaṭe	tamhi + uddhaṭe
tayāmhi	tayā + amhi
tayome	tayo + ime
tarathetaṃ	taratha + etaṃ
tasmiṃyeva	tasmiṃ + eva
tassattho	tassa + attho
tassapi	tassa + api
tassassu	tassa + assu
tassāyeva	tassā + eva
tassāhaṃ	tassa + ahaṃ
tassimāni	tassa + imāni
tassime	tassa + ime
tassimesu	tassa + imesu
tassīdha	tassa + idha
tassuttarato	tassa + uttarato
tassuddānaṃ	tassa + uddānaṃ
tassetaṃ	tassa + etaṃ
tassesā	tassa + esā
tasseva	tassa + eva
tassevanti	tassa + evaṃ + iti
tassevaṃ	tassa + evaṃ
taveva	tava + eva
taṃyevettha	taṃ + eva + ettha
tādisameva	tādisa + eva
tādisaṃyeva	tādisaṃ + eva
tādisovassa	tādiso + eva + assa
tānassu	tāni + assu
tānāssu	tāni + assu
tāsañca	tāsaṃ + ca
tāsaṃyeva	tāsaṃ + eva
tāsāhaṃ	tāsu + ahaṃ
tāvatakeneva	tāvatakena + eva
tāvatakvassa	tāvatako + assa
tāvadevassā	tāva + eva + assā
tiādi	iti + ādi
tiādimāha	iti + ādiṃ + āha
tiṭṭhatetaṃ	tiṭṭhatu + etaṃ
tiṭṭhatesā	tiṭṭhatu + esā
tiriyañca	tiriyaṃ + ca
tīṇaṅgāni	tīṇi + aṅgāni
tīṇimāni	tīṇi + imāni
tīramevānudhāvati	tīraṃ + eva + anudhāvati
tumhākampi	tumhākaṃ + api
tumhepi	tumhe + api
tuyhañhi	tuyhaṃ + hi
tuyhameva	tuyhaṃ + eva
tuyhampi	tuyhaṃ + api
tuyhiminā	tuyhaṃ + iminā
tuvañhi	tuvaṃ + hi
tuvaṃtuvaṃ	tuvaṃ + tuvaṃ
tenañjaliṃ	tena + añjaliṃ
tenapi	tena + api
tenahāyasmā	tena + hi + āyasmā
tenahāvuso	tena + hi + āvuso
tenahi	tena + hi
tenāyaṃ	tena + ayaṃ
tenāha	tena + āha
tenāhaṃ	tena + ahaṃ
tenāhu	tena + āhu
teneva	tena + eva
tenevantaravassena	tena + eva + antaravassena
tenevāha	tena + eva + āha
tepare	te + pare
tesañca	tesaṃ + ca
tesaññeva	tesaṃ + eva
tesantakaro	tesaṃ + antakaro
tesampi	tesaṃ + api
tesaṃyeva	tesaṃ + eva
tesāhaṃ	tesaṃ + ahaṃ
teva	te + eva
tvañca	tvaṃ + ca
tvaññeva	tvaṃ + eva
tvamasi	tvaṃ + asi
tvampi	tvaṃ + api
tvaṃyeva	tvaṃ + eva
tveva	tu + eva
tvevāhaṃ	tu + eva + ahaṃ
thenosi	theno + asi
dantamādhāya	dantaṃ + ādhāya
dantebhidantamādhāya	dantebhi + dantaṃ + ādhāya
dasayimāni	dasa + imāni
dasayime	dasa + ime
dasahaṅgehi	dasahi + aṅgehi
dassanakāmamhā	dassana + kāma + amhā
daḷhamenaṃ	daḷhaṃ + enaṃ
dānāyaṃ	dāni + ayaṃ
dānāhaṃ	dāni + ahaṃ
dānime	dāni + ime
dānisi	dāni + asi
diṭṭhevadhamme	diṭṭhe + eva + dhamme
diṭṭhosi	diṭṭho + asi
dibbenādhipateyyena	dibbena + ādhipateyyena
disvāva	disvā + eva
dīghamāpajjate	dīghaṃ + āpajjate
dīgharattamidaṃ	dīgha + rattaṃ + idaṃ
dukkhanti	dukkhaṃ + iti
dukkhantipi	dukkhaṃ + iti + api
dukkhamappiyaṃ	dukkhaṃ + appiyaṃ
dukkhamidaṃ	dukkhaṃ + idaṃ
dukkhosamānasaṃvāso	dukkho + samāna + saṃvāso
dutiyampi	dutiyaṃ + api
dūratopi	dūrato + api
dūratova	dūrato + eva
desitādiccabandhunā	desitaṃ + ādiccabandhunā
devarajjamakārayiṃ	devarajjaṃ + akārayiṃ
devānumodanti	devā + anumodanti
devāpi	devā + api
dvāhaṃ	dvi + ahaṃ
dvemā	dve + imā
dvemāni	dve + imāni
dveme	dve + ime
dveyeva	dve + eva
dveva	dve + eva
dhammamuttamaṃ	dhammaṃ + uttamaṃ
dhammameva	dhamma + eva
dhammesa	dhamme + esa
nacirasseva	na + cirassa + eva
najja	nu + ajja
natthaññaṃ	na + atthi + aññaṃ
natthañño	na + atthi + añño
natthidāni	natthi + idāni
nanāyaṃ	nanu + ayaṃ
napi	na + api
nayenettha	nayena + ettha
nassu	na + ssu
navayime	nava + ime
nāṇupi	na + aṇu + api
nāmassu	nāma + su
nāmāyaṃ	nāma + ayaṃ
nāmāhaṃ	nāma + ahaṃ
nāmete	nāma + ete
nāmeso	nāma + eso
nāmhi	na + amhi
nāyamāyasmā	na + ayaṃ + āyasmā
nāyaṃ	na + ayaṃ
nāyaṃ	nu + ayaṃ
nāssa	na + assa
nāssudha	na + ssu + idha
nāssudha	na + assudha
nibbānamattano	nibbānaṃ + attano
nisinnomhi	nisinno + amhi
nuttha	nu + ettha
numāni	nu + imāni
nuhaṃ	nu + ahaṃ
nūnāhaṃ	nūna + ahaṃ
nekattamupapajjati	na + ekattaṃ + upapajjati
nevattato	na + eva + attato
nevattasañcetanā	na + eva + atta + sañcetanā
nocidha	no + ca + idha
notevettha	no + iti + eva + ettha
nvayaṃ	nu + ayaṃ
pakkamatāyasmā	pakkamatu + āyasmā
pageva	pago + eva
paccattaññeva	paccattaṃ + eva
pacchatopissa	pacchato + api + assa
pacchāsaṃ	pacchā + esaṃ
pacchāssa	pacchā + assa
pañcamettha	pañcamo + ettha
pañcasupādānakkhandhesu	pañcasu + upādānakkhandhesu
pañcimā	pañca + imā
pañcimāni	pañca + imāni
pañcime	pañca + ime
pañcete	pañca + ete
paññāṇamaggino	paññāṇaṃ + aggino
paññāṇamitthiyā	paññāṇaṃ + itthiyā
paṭikacceva	paṭikacca + eva
paṭikkamosānaṃ	paṭikkamo + esānaṃ
paṭisanthāravutyassa	paṭisanthāra + vutti + assa
paṭhamaññeva	paṭhamaṃ + eva
paṇītametaṃ	paṇītaṃ + etaṃ
pattakāyena	patta + kāyena
pattacīvaramādāya	pattaṃ + cīvaraṃ + ādāya
panaññampi	pana + aññaṃ + api
panaññānipi	pana + aññāni + api
panassa	pana + assa
panāniccaṃ	pana + aniccaṃ
panāyamāyasmā	pana + ayaṃ + āyasmā
panāyasmato	pan + āyasmato
panāyasmantaṃ	pana + āyasmantaṃ
panāyasmanto	pana + āyasmanto
panāyasmā	pana + āyasmā
panāyaṃ	pana + ayaṃ
panāssu	pana + assu
panāvuso	pana + āvuso
panāhaṃ	pana + ahaṃ
panidaṃ	pana + idaṃ
panimassa	pana + imassa
panimaṃ	pana + imaṃ
panimāni	pana + imāni
panimehi	pana + imehi
paneke	pana + eke
panetaṃ	pana + etaṃ
panete	pana + ete
panettha	pana + ettha
panesā	pana + esā
paneso	pana + eso
paneva	pana + eva
pabbajitomhi	pabbajito + amhi
pabbatamuddhaniṭṭhito	pabbatamuddhani + ṭhito
pamādattha	pamāda + attha
pamutyatthi	pamutti + atthi
parañca	paraṃ + ca
paramajjadhammesu	parama + ajja + dhammesu
paramattakāmo	paraṃ + attakāmo
parisuddhetthāyasmanto	parisuddhā + ettha + āyasmanto
passāmahaṃ	passāmi + ahaṃ
paviṭṭhamhā	paviṭṭha + amhā
pātova	pāto + eva
pāpañce	pāpaṃ + ce
pāpamāgamā	pāpaṃ + āgamā
pāyaṃ	api + ayaṃ
pāsādamāruyha	pāsādaṃ + āruyha
pāḷinayeneva	pāḷi + nayena + eva
piyataramattanā	piyataraṃ + attanā
pucchāvuso	puccha + āvuso
puṭṭhohaṃ	puṭṭho + ahaṃ
punadeva	puna + eva
punapi	puna + api
punareva	puna + eva
pubbeva	pubbe + eva
puratopissa	purato + api + assa
purimanayeneva	purima + nayena + eva
pūjitamettāvatā	pūjitaṃ + ettāvatā
