compound	split
phullamavītagandhaṃ	phullaṃ + avītagandhaṃ
balavamhi	balavā + amhi
bahudeva	bahu + eva
bahuneke	bahunā + eke
bālosi	bālo + asi
buddhagāthābhigītomhi	buddha + gāthā + abhigīto + amhi
buddhavacanānussaraṇavasenetaṃ	buddhavacana + anussaraṇa + vasena + etaṃ
buddhosmi	buddho + asmi
byādhidhammomhi	byādhi + dhammo + amhi
brāhmaṇamhā	brāhmaṇā + amhā
bhayamantarato	bhayaṃ + antarato
bhavamatthu	bhavaṃ + atthu
bhavissanti	bhavissaṃ + iti
bhavobhirādhito	bhavo + abhirādhito
bhāsitampetaṃ	bhāsitaṃ + api + etaṃ
bhūtapubbāhaṃ	bhūtapubbaṃ + ahaṃ
bhūtamidaṃ	bhūtaṃ + idaṃ
maggakkhāyīhaṃ	magga + akkhāyī + ahaṃ
maññitametaṃ	maññitaṃ + etaṃ
maññevettha	maṃ + eva + ettha
matthi	me + atthi
manāpeneva	manāpena + eva
mantaṃ	maṃ + taṃ
mamaccaye	mama + accaya + e
mamañca	mamaṃ + ca
mamaññeva	mamaṃ + eva
mamanti	mamaṃ + iti
mamapi	mama + api
mamassa	mama + assa
mameva	mama + eva
mamevārabbha	maṃ + eva + ārabbha
mamevettha	maṃ + eva + ettha
mayañhi	mayaṃ + hi
mayamettha	mayaṃ + ettha
mayampi	mayaṃ + api
mayampetaṃ	mayaṃ + api + etaṃ
mayāpi	mayā + api
mayhaṃpatthi	mayhaṃ + api + atthi
mayhevekassa	mayhaṃ + eva + ekassa
maraṇadhammomhi	maraṇa + dhamma + amhi
mahamattasambhavaṃ	ahaṃ + attasambhavaṃ
māyasmanto	mā + āyasmanto
māyasmā	mā + āyasmā
midaṃ	idaṃ
muṇḍāsi	muṇḍā + asi
muttosi	mutto + asi
muhuttampi	muhuttaṃ + api
mūḷhosi	mūḷho + asi
meso	me + eso
moghamaññanti	moghaṃ + aññaṃ + iti
moghamaññaṃ	moghaṃ + aññaṃ
modahaṃ	modi + ahaṃ
yaggheyye	yagghe + ayye
yañca	yaṃ + ca
yatassa	yato + assa
yatthapi	yattha + api
yatthassa	yattha + assa
yatthākicchena	yattha + akicchena
yatthāhaṃ	yattha + ahaṃ
yatthimā	yattha + imā
yatthetaṃ	yattha + etaṃ
yattheva	yattha + eva
yatvādhikaraṇamenaṃ	yato + adhikaraṇaṃ + enaṃ
yathayidaṃ	yathā + idaṃ
yathājja	yathā + ajja
yathāttanā	yathā + attanā
yathāpi	yathā + api
yathāyaṃ	yathā + ayaṃ
yathāssa	yathā + assa
yathāhaṃ	yathā + ahaṃ
yatheva	yathā + eva
yathevaṃ	yathā + evaṃ
yadaggi	yadā + aggi
yadatthi	yad + atthi
yadapi	yad + api
yadāpi	yadā + api
yadāyasmantānaṃ	yadi + āyasmantānaṃ
yadāyaṃ	yadā + ayaṃ
yadāhaṃ	yadā + ahaṃ
yadidaṃ	yad + idaṃ
yadipime	yadi + api + ime
yadetaṃ	yad + etaṃ
yadettha	yad + ettha
yadeva	yad + eva
yantaṃ	yaṃ + taṃ
yamāhu	yaṃ + āhu
yametamatthaṃ	yaṃ + etaṃ + atthaṃ
yametaṃ	yaṃ + etaṃ
yassa	yo + assa
yassadāni	yassa + dāni
yassassu	yassa + assu
yassāhaṃ	yassa + ahaṃ
yassiñjitaṃ	yassa + iñjitaṃ
yasseva	yassa + eva
yaṃpaccayāssa	yaṃ + paccayā + assa
yānimāni	yāni + imāni
yānīdha	yāni + idha
yāyaṃ	yā + ayaṃ
yāvakīvañca	yāva + kīvaṃ + ca
yāvañcidaṃ	yāva + ca + idaṃ
yāvatakvassa	yāvatā + ko + assa
yāvatatiyañca	yāva + tatiyaṃ + ca
yāvatatiyañce	yāva + tatiyaṃ + ce
yāvatājagatogati	yāvatā + jagato + gati
yāvasubhāsitamidaṃ	yāva + subhāsitaṃ + idaṃ
yāvassu	yāva + ssu
yāvāhaṃ	yāva + ahaṃ
yāhayaṃ	yāhi + ayaṃ
yāhu	yo + ahu
yuñjantāyasmanto	yuñjantu + āyasmanto
yenaññataro	yena + aññataro
yenattho	yena + attho
yenassa	yena + assa
yenāyasmā	yena + āyasmā
yenāhaṃ	yena + ahaṃ
yeneva	yena + eva
yesañca	yesaṃ + ca
yesīdha	yesu + idha
yotivākyaṃ	yo + ativākyaṃ
yodha	yo + idha
yopi	yo + api
yopissa	yo + api + assa
yomaṃ	yo + imaṃ
yohaṃ	yo + ahaṃ
yvāyaṃ	yo + ayaṃ
yvāssa	yo + assa
rakkhassetaṃ	rakkhassu + etaṃ
ramāmahaṃ	ramāmi + ahaṃ
rājāhaṃ	rāja + ahaṃ
riva	iva
riva	eva
laṅghetumicchasi	laṅghetuṃ + icchasi
labhantatthe	labhanti + atthe
labheyyāhaṃ	labbheyyaṃ + ahaṃ
labheyyāhaṃ	labheyyaṃ + ahaṃ
lābhīmhi	lābhī + amhi
lokamimaṃ	lokaṃ + imaṃ
lopamāpajjate	lopaṃ + āpajjate
sakiṃdeva	sakiṃ + eva
saggakāyamagamaṃ	saggakāyaṃ + agamaṃ
saṅkhāresūpasantesu	saṅkhāresu + upasantesu
sacajja	sace + ajja
sacāyaṃ	sace + ayaṃ
sacāhaṃ	sace + ahaṃ
sacepi	sace + api
saññīmeva	saññī + eva
saṭhāssunāmime	saṭhā + ssu + nāma + ime
satasmīti	sat + asmi + iti
satasmīti	sata + asmi + iti
satova	sato + eva
sattantarā	satta + antarā
sattahaṅgehi	sattahi + aṅgehi
sattimā	satta + imā
sattime	satta + ime
satyassa	sati + assa
sadisohamasmi	sadiso + ahaṃ + asmi
sadisohamasmīti	sadiso + ahaṃ + asmi + iti
saddhimattho	saddhiṃ + attho
saddhīdha	saddhā + idha
santametaṃ	santaṃ + etaṃ
santaṃyeva	santaṃ + eva
santāvuso	santi + āvuso
santimuttamaṃ	santiṃ + uttamaṃ
sandhāyāha	sandhāya + āha
sandhāyetaṃ	sandhāya + etaṃ
sabbamaññaṃ	sabbaṃ + aññaṃ
sabbamidaṃ	sabbam + idaṃ
sabbametaṃ	sabbaṃ + etaṃ
sabbāneva	sabbāni + eva
sabbete	sabbe + ete
sabbesampissa	sabbesaṃ + api + assa
sabbeva	sabbe + eva
sabbeheva	sabbehi + eva
sabbhireva	sabbhi + eva
samaṇamhā	samaṇā + amhā
samaṇīdha	samaṇaṃ + idha
samatthi	sama + atthi
sametāyasmantānaṃ	sametu + āyasmantānaṃ
sametāyasmā	sametu + āyasmā
sampadamidaṃ	sampadaṃ + idaṃ
sampannatthūdha	sampanna + atthu + idha
samphalaṃ	saṃ + phalaṃ
sambādhapaṭipannosmi	sambādha + paṭipanno + asmi
sayameva	sayaṃ + eva
sayānomhi	sayāno + amhi
sallamattano	sallaṃ + attano
sahāpi	saha + api
sahāvassa	saha + eva + assa
saṃvāsamanvāya	saṃvāsaṃ + anvāya
saṃvijjantassa	saṃvijjanti + assa
sādhayye	sādhu + ayye
sādhāvuso	sādhu + āvuso
sāmampi	sāmaṃ + api
sāyeva	sā + eva
sīdha	su + idha
sīlesvevassa	sīlesu + eva + assa
sīhaṃvekacaraṃ	sīhaṃ + iva + ekacaraṃ
sukhantipi	sukhaṃ + iti + api
sucirasseva	sucirassa + eva
sudaṃ	su + idaṃ
sudāhaṃ	sudaṃ + ahaṃ
seṭṭhamupanamaṃ	seṭṭhaṃ + upanamaṃ
seyyathāpi	se + yathā + api
seyyathidaṃ	se + yathā + idaṃ
seyyathīdaṃ	se + yathā + idaṃ
seyyohamasmi	seyyo + ahaṃ + asmi
seyyohamasmīti	seyyo + ahaṃ + asmi + iti
sesapadadvayepi	sesa + pada + dvaye + api
sesapadesupi	sesapadesu + api
sesamettha	sesaṃ + ettha
sesavāresupi	sesavāresu + api
sesesupi	sesesu + api
sotthimattānaṃ	sotthiṃ + attānaṃ
somaṃ	so + imaṃ
soyanti	so + ayaṃ + iti
svājja	so + ajja
svāyamattho	so + ayaṃ + attho
sveva	so + eva
vatamhi	vata + amhi
vatayaṃ	vata + ayaṃ
vatassāhaṃ	vata + assaṃ + ahaṃ
vatāyasmantaṃyeva	vata + āyasmantaṃ + eva
vatāyaṃ	vata + ayaṃ
vatāhaṃ	vata + ahaṃ
vatidaṃ	vata + idaṃ
vatime	vata + ime
vadāmahaṃ	vadāmi + ahaṃ
vayañcassānupassati	vayaṃ + ca + assa + anupassati
vareyyāhe	vareyya + ahe
vasenetaṃ	vasena + etaṃ
vāti	vā + iti
vāpi	vā + api
vāpi	ve + api
vāyaṃ	vā + ayaṃ
vāyaṃ	ve + ayaṃ
vāraññe	vā + araññe
vāsi	ve + asi
vāhametaṃ	vā + ahaṃ + etaṃ
vāhaṃ	vā + ahaṃ
vināyeva	vinā + eva
vippamuttosi	vippamutto + asi
vimuttamattānaṃ	vimuttaṃ + attānaṃ
vimuttomhi	vimutto + amhi
viramathāyasmanto	viramatha + āyasmanto
visuddhamattānaṃ	visuddhaṃ + attānaṃ
vissāsamanvāya	vissāsaṃ + anvāya
vivicceva	vivicca + eva
viharatāyasmā	viharatu + āyasmā
vihārotveva	vihāro + tu + eva
vuccatāvuso	vuccati + āvuso
vuttañhetaṃ	vuttaṃ + hi + etaṃ
vuttatthāneva	vutta + atthā + eva
vuttanayāneva	vuttanayāni + eva
vuttanayeneva	vutta + nayena + eva
vuttamarahatāti	vuttaṃ + arahatā + iti
vuttamidaṃ	vutta + idaṃ
vuttānusāreneva	vutta + anusārena + eva
vuttāhaṃ	vutte + ahaṃ
vuddhihesā	vuddhi + hi + esā
vekacaraṃ	iva + ekacaraṃ
veditabbametaṃ	veditabbaṃ + etaṃ
vocchijjatārammaṇaṃ	vocchijjati + ārammaṇaṃ
haññadatthatthipasaṃsalābhā	hi + añña + attha + atthi + pasaṃsā + lābhā
hatthamevānukantati	hatthaṃ + eva + anukantati
handāhaṃ	handa + ahaṃ
hayaṃ	hi + ayaṃ
halaṃ	hi + alaṃ
hānanda	hi + ānanda
hāyaṃ	hi + ayaṃ
hāvuso	hi + āvuso
hitamattano	hitaṃ + attano
hidaṃ	hi + idaṃ
himavāññe	himavā + āññe
himavāvaññe	himavā + iva + aññe
hissa	hi + assa
hissa	hi + ssa
hīnohamasmi	hīno + ahaṃ + asmi
hīnohamasmīti	hīno + ahaṃ + asmi + iti
hīme	hi + ime
heke	hi + eke
hetaṃ	hi + etaṃ
hete	hi + ete
hettha	hi + ettha
hesā	hi + esā
heva	hi + eva
hevantissa	hi + evaṃ + iti + assa
hevaṃ	hi + evaṃ
hoteva	hoti + eva
santamassa	santaṃ + assa
santi	saṃ + iti
tathārūpāssa	tathārūpā + assa
yadatītampahīnantaṃ	yad + atītaṃ + pahīnaṃ + taṃ
samādhimānantarikaññamāhu	samādhiṃ + ānantarikaṃ + yaṃ + āhu
yadajjhagā	yad + ajjhagā
jīvitamāhu	jīvitaṃ + āhu
appevanāmimassa	api + eva + nāma + imassa
dukkhamanveti	dukkhaṃ + anveti
sukhamanveti	sukhaṃ + anveti
lābhimhi	lābhī + amhi
yathāmedaṃ	yathā + me + idaṃ
tavāhamasmi	tava + ahaṃ + asmi
sakhāhamasmi	sakha + ahaṃ + asmi
sotāvadhānūpanisūpapanne	sotāvadhāna + upanisā + upapanne
asīti	asi + iti
panāyasmante	pana + āyasmante
ajānamevāhaṃ	ajānaṃ + evaṃ + ahaṃ
sopalepapatito	so + upalepa + patito
caṇḍettha	caṇḍā + ettha
avijjāyatveva	avijjāya + iti + eva
avijjāyatveva	avijjāya + tu + eva
ahovatime	aho + vata + ime
brahmunāpesā	brahmunā + api + esā
pariyāyanti	pariyāyaṃ + iti
evamassāyaṃ	evaṃ + assu + ayaṃ
nayimā	na + imā
ujjaletunti	ujjaletuṃ + iti
apāyadukkhavisesabhūtā	apāya + dukkha + visesa + bhūtā
ālayanti	ālayaṃ + iti
panassā	pana + assā
gāmantavihārināpīti	gāmantavihārinā + api + iti
saggūpagenapīti	saggūpagena + api + iti
tathevākāsi	tathā + eva + ākāsi
kaṅkhanti	kaṅkhaṃ + iti
avasesayaññaṭṭhāne	avasesa + yañña + ṭhāne
santaggivessana	santi + aggivessana
maggāmaggadhammassa	magga + amagga + dhammassa
pubbakehesā	pubbakehi + esā
ayanti	ayaṃ + iti
kukkuropi	kukkuro + api
kimidanti	kiṃ + idaṃ + iti
mayamevamhā	mayaṃ + eva + amhā
kosiyātveva	kosiyā + iti + eva
hatthi	hi + atthi
paññāva	paññā + eva
halanti	hi + alaṃ + iti
āsūpasampadā	āsu + upasampadā
āsūpasampadā	āsi + upasampadā
apāpuretaṃ	apāpura + etaṃ
huveyyapāvuso	huveyya + api + āvuso
ṭhitamaṭṭhitoti	ṭhitaṃ + aṭṭhito + iti
metanti	metaṃ + iti
anussāvessatūti	anussāvessati + iti
pabbajitosīti	pabbajito + asi + iti
ajjuposathoti	ajjuposatho + iti
nāmetaṃ	nāma + etaṃ
khippāhaṃ	khippaṃ + ahaṃ
caparāhaṃ	ca + paraṃ + ahaṃ
paccessanti	paccessaṃ + iti
kappanahutehīti	kappanahutehi + iti
kaṅkhāhu	kaṅkhā + ahu
rājāhamasmi	rājā + ahaṃ + asmi
mesā	me + esā
katamettha	katame + ettha
cittassete	cittassa + ete
cayaṃ	ca + ayaṃ
tesāhamasmi	tesaṃ + ahaṃ + asmi
apagatamakkhikaṇḍakaṃ	apagata + makkhika + aṇḍakaṃ
yāvañcidha	yāva + ca + idha
uttaranti	uttaraṃ + iti
ariyāyetaṃ	ariyāya + etaṃ
tesamete	tesaṃ + ete
āyatanamakkhāyati	āyatanaṃ + akkhāyati
tadimināpetaṃ	tad + iminā + api + etaṃ
saratāyasmā	saratu + āyasmā
sādhukameva	sādhukaṃ + eva
ṭhānametaṃ	ṭhānaṃ + etaṃ
āvāsādisattavidhasappāyāsevanakiriyāya	āvāsa + ādi + sattavidha + sappāya + āsevana + kiriyāya
pasaddo	pa + saddo
etesanti	ete + santi
amatamadhigataṃ	amataṃ + adhigataṃ
ayamahamasmi	ayaṃ + ahaṃ + asmi
katthūpapattiṃ	kattha + upapattiṃ
kyassu	ke + assu
vihārimātāpiṃ	vihāriṃ + ātāpiṃ
appekadāhaṃ	api + ekadā + ahaṃ
yāyamhi	yāya + amhi
teme	te + ime
tenahāyasmanto	tena + hi + āyasmanto
pañcahaṅgehi	pañcahi + aṅgehi
yatohaṃ	yato + ahaṃ
sāvakohamasmi	sāvako + ahaṃ + asmi
idhāssu	idha + assu
tamettha	taṃ + ettha
nālamettha	na + alaṃ + ettha
kaccāsi	kacci + asi
tadevettha	tad + eva + ettha
ahamettha	ahaṃ + ettha
yatthassu	yattha + assu
tesamidaṃ	tesaṃ + idaṃ
gacchagumbhādīnampi	gaccha + gumbha + ādīnaṃ + api
idamāsanaṃ	idaṃ + āsanaṃ
sovāhaṃ	so + eva + ahaṃ
saṅkhāti	saṅkhā + iti
savaḍḍhi	sa + vaḍḍhi
teladhārāva	teladhārā + iva
sayuddhattā	sa + yuddha + ttā
yopesa	yo + api + esa
ubhopete	ubho + api + ete
ūsakhaṇḍaṃ 	ūsa + khaṇḍaṃ 
ūsakhaṇḍanti	ūsa + khaṇḍaṃ + iti 
nujju	na + ujju
ṭhānameke	ṭhānaṃ + eke
yadapaṇṇakanti	yad + apaṇṇakaṃ + iti
yadimeti	yadi + ime + iti
caparantiādimāha	ca + paraṃ + iti + ādiṃ + āha
kālānamaccayena	kālānaṃ + accayena
akanti	akaṃ + iti
rāgasaṅgādayo	rāga + saṅga + ādayo
bhūdhātuto	bhū + dhātuto
vattamānattanopada	vattamāna + attanopada
bhittipādussāpanādinā	bhittipāda + ussāpana + ādinā
kālātipattiiccetāsu	kālātipatti + iti + etāsu
akkhacchinnovajhāyati	akkhacchinno + avajhāyati
taddhitākhyāta	taddhita + ākhyāta
padakkhara	pada + akkhara
akkharappabhedānaṃ 	akkhara + pabhedānaṃ 
kādayo	ka + ādayo
akkhānañca	akkhānaṃ + ca
bhikkhunīnamovādo	bhikkhunīnaṃ + ovādo
yevāvasissati	eva + avasissati
gamuiccetassa	gamu + iti + etassa
agarukatvāti	agarukatvā + iti
sītavinodana	sīta + vinodana
bhattapacanādi	bhattapacana + ādi
sammajjanupalepana	sammajjana + upalepana
yadime	yadi + ime
gamissanti	gamissaṃ + iti
pañcālarājānamevālapati	pañcālarājānaṃ + eva + ālapati
panassaṃ	pana + assaṃ
katihākārehi	katihi + ākārehi
parīti	pari + iti
nānaggarasasūpabyañjanoti	nāna + aggarasa + sūpa + byañjano + iti
arahattappattadivaseyevassa	arahattappatta + divase + eva + assa
tāvāti	tāva + iti
ācariyupajjhāyavattādīni	ācariyupajjhāya + vatta + ādīni
iṇapīḷitāti	iṇa + pīḷitā + iti
aparimeyyito	aparimeyye + ito
koādesaṃ	ko + ādesaṃ
ṇādesaṃ	ṇā + desaṃ
lokekanāyako	loke + eka + nāyako
tamasaṅkhātaṃ	tama + saṅkhātaṃ
susamāhitantiādimāha	susamāhitaṃ + iti + ādiṃ + āha
tāvetassa	tāva + etassa
conatāti	ca + onatā + iti
panāyamāhāro	pana + ayaṃ + āhāro
atijighacchapiḷitopi	atijighaccha + piḷito + api
tassadikoti	taṃ + sadiko + iti
gāyantītivā	gāyanti + iti + vā
yassāsetādisī	yassa + āsi + etādisī
ekāhi	ekā + hi
nevitthī	na + eva + itthī
yidhattho	idha + attho
panātiādimāha	pana + iti + ādiṃ + āha
nevasekkhanāsekkho	na + eva + sekkha + na + asekkho
vātiādinā	vā + iti + ādinā
hītiādimāha	hi + iti + ādiṃ + āha
noāsavo	no + āsavo
itoti	ito + iti
metādiso	me + tādiso
metādiso	me + etādiso
nocitto	no + citto
vātiādīsu	vā + iti + ādīsu
nevavipākanavipākadhammadhammaṃ	na + eva + vipāka + na + vipākadhamma + dhammaṃ
noatthiyā	no + atthiyā
nosaññāvimokkhaṃ	no + saññāvimokkhaṃ
kintu	kiṃ + tu
cātiādimāha	cā + iti + ādiṃ + āha
etīti	eti + iti
nocittaṃ	no + cittaṃ
nocittasamuṭṭhāno	no + cittasamuṭṭhāno
sotipi	so + iti + api
mānamadapurisamadādayo	mānamada + purisamada + ādayo
pacchibhājanañca	pacchi + bhājanaṃ + ca
kammārohanaṃ	kammā + ārohanaṃ
aññadeva	aññaṃ + eva
santilakkhaṇaṃ	santi + lakkhaṇaṃ
piṇḍapātāpacāyanatā	piṇḍapāta + apacāyana + tā
tibuddhakhettekadivākaraṃ	ti + buddha + khetta + eka + divākaraṃ
yāssu	yā + ssu
kilesatamasaṅkhātaṃ	kilesa + tama + saṅkhātaṃ
kilesatamasodhanaṃ	kilesatamas + sodhanaṃ
ubhotthamaparājitāti	ubho  + ettha + aparājitā + iti
maddakkhu	m + addakkhu
maddakkhūti	addakkhu + iti
metiādīni	me + iti + ādīni
paupaitievamādikaṃ	pa + upa + iti + eva + ādikaṃ
ṇāpayaiccete	ṇāpaya + iti + ete
amādayo	aṃ + ādayo
rājāmanupāyāsi	rājā + anupāyāsi
atthitveva	atthi + iti + eva
punabbhavasaṅkhāraṇakaṃ	punabbhava + saṅkhāraṇakaṃ
maṃbravi	maṃ + bravi
pemantiādimāhāti	pemaṃ + iti + ādiṃ + āhā + iti
maññidaṃ	maññe + idaṃ
teyevassa	te + eva + assa
devāyatanamivāti	deva + āyatanaṃ + iva + iti
moghamaññantiādinayappavattā	moghaṃ + aññaṃ + iti + ādi + naya + pavattā
nevasekkhanāsekkhoti	na + eva + sekkha + na + asekkho + iti
alamevāti	alaṃ + eva + iti
upaṭṭhānagamanakaṃyevāti	upaṭṭhāna + gamanakaṃ + eva + iti
ekuppādādippakārehi	eka + uppāda + ādi + pakārehi
kathinantiādimāha	kathinaṃ + iti + ādiṃ + āha
lūkhāyaṃ	lūkhā + ayaṃ
rakkhasādīhi	rakkhasa + ādīhi
bhummābhummā	bhumma + abhummā
saggamokkhadaṃ	saggamokkha + daṃ
asāti	asā + iti
vinivijjhanaṭṭhenāti 	vinivijjhana + aṭṭhena + iti
hatthādijhāpanaṭṭhena	hattha + ādi + jhāpana + aṭṭhena
māyāyaṃ	māyā + ayaṃ
vigatavāyanti	vigata + vāyaṃ + iti
ususippaṃ	usu + sippaṃ
dhātidāsiyā	dhātī + dāsiyā
dhātigaṇaṃ	dhāti + gaṇaṃ
dhātiādayo	dhāti + ādayo
dhātikiccaṃ	dhāti + kiccaṃ
dhātisatāni	dhāti + satāni
pañcadhātisatāni	pañca + dhāti + satāni
dhātīritā	dhātu + īritā
cāsā	ca + āsā
vāsipharasusattiārakaṇṭakādīnaṃ	vāsi + pharasu + satti + āra + kaṇṭaka + ādīnaṃ
anīghasumanā	anīgha + sumanā
lūnāvasiṭṭhavisukkhatiladaṇḍakā	lūna + avasiṭṭha + visukkha + tiladaṇḍakā
uṇṇāmayattharaṇo	uṇṇāmaya + attharaṇo
santipaṭissavakammaṃ	santi + paṭissava + kammaṃ
idañcidañcāharathāti	idaṃ + ca + idaṃ + ca + āharatha + iti
cittappavattimattamevāti	citta + pavatti + mattaṃ + eva + iti
yāpesā	yā + api + esā
pāiccevamādīhi	pa + iti + evaṃ + ādīhi
panamhissa	pana + amhi + assa
bhattañcassa	bhattaṃ + ca + assa
mantiādīni	maṃ + iti + ādīni
pesā	api + esā
duppasahajjame	duppasahā + ajja + ime
tividhayaññasampadāya	tividha + yaññasampadāya
santāneva	santāni + eva
asantānīti	asantāni + iti
tyāpareti	te + apare + iti
yovetītipi	yo + aveti + iti + api
hevantissu	hi + evaṃ + iti + assu
suppaṭipannāttha	suppaṭipannā + attha
attapaṭilābhotveva	attapaṭilābho + tu + eva
naṭṭhassatitāya	naṭṭha + sati + tāya
sohanti	so + ahaṃ + iti
nivāsanaṭṭhānaṃ	nivāsana + ṭhānaṃ
yaṃjhānahetu	yaṃ + jhāna + hetu
yaṃjhānakāraṇā	yaṃ + jhāna + kāraṇā
rāgādivūpasamanatthāya	rāga + ādi + vūpasamana + atthāya
adiṭṭhamasutamaparisaṅkitañca	adiṭṭhaṃ + asutaṃ + aparisaṅkitaṃ + ca
setañca	setaṃ + ca
ārāti	ārā + iti
rāgādinirodhatthāya	rāga + ādi + nirodha + atthāya
uṇṇassa	uṇṇā + assa
tvevāti	tu + eva + iti
dīgharattassa	dīgharattaṃ + assa
viriyapaggahaṇatthaṃ	viriya + paggahaṇa + atthaṃ
saccasattappaṭisandhipaccayākārappaṭisaṃyuttaṃ	sacca + satta + paṭisandhi + paccayākāra + paṭisaṃyuttaṃ
sāmhi	sā + amhi
pariyāpannatāvaseneva	pariyāpannatā + vasena + eva
setanti	setaṃ + iti
viagāti	vi + agā + iti
subhanteva	subhaṃ + iti + eva
rūpīsaddopiāvuttiādinayena	rūpī + saddo + api + āvutti + ādi + nayena
yāvakīvañca	yāvakīvaṃ + ca
raññañca	raññaṃ + ca
kaṭṭhattharaṇapaṇṇattharaṇaāsanādīni	kaṭṭha + attharaṇa + paṇṇa + attharaṇa + āsana + ādīni
dukkhamanattāsubhanti	dukkhaṃ + anatta + asubhaṃ + iti
